test_id,pass,fail,missing,total,verdict
tests/test_checkpoint_migration.py::test_latest_checkpoint_state_graph_async[memory],50,0,0,50,NOT_FLAKY
tests/test_checkpoint_migration.py::test_latest_checkpoint_state_graph_async[sqlite_aio],50,0,0,50,NOT_FLAKY
tests/test_checkpoint_migration.py::test_saved_checkpoint_state_graph_async[memory-2-quadratic],50,0,0,50,NOT_FLAKY
tests/test_checkpoint_migration.py::test_saved_checkpoint_state_graph_async[memory-2-start:*],50,0,0,50,NOT_FLAKY
tests/test_checkpoint_migration.py::test_saved_checkpoint_state_graph_async[memory-3],50,0,0,50,NOT_FLAKY
tests/test_checkpoint_migration.py::test_saved_checkpoint_state_graph_async[sqlite_aio-2-quadratic],50,0,0,50,NOT_FLAKY
tests/test_checkpoint_migration.py::test_saved_checkpoint_state_graph_async[sqlite_aio-2-start:*],50,0,0,50,NOT_FLAKY
tests/test_checkpoint_migration.py::test_saved_checkpoint_state_graph_async[sqlite_aio-3],50,0,0,50,NOT_FLAKY
tests/test_config_async.py::test_new_async_manager_includes_tags,50,0,0,50,NOT_FLAKY
tests/test_config_async.py::test_new_async_manager_merges_tags_with_config,50,0,0,50,NOT_FLAKY
tests/test_config_async.py::test_with_config_callbacks_preserved_in_astream_events,50,0,0,50,NOT_FLAKY
tests/test_config_async.py::test_with_config_configurable_preserved_on_invoke,50,0,0,50,NOT_FLAKY
tests/test_config_async.py::test_with_config_metadata_preserved_on_invoke,50,0,0,50,NOT_FLAKY
tests/test_config_async.py::test_with_config_tags_preserved_on_invoke,50,0,0,50,NOT_FLAKY
tests/test_delta_channel_id_stability.py::test_delta_channel_message_gets_id_and_stays_stable_async,50,0,0,50,NOT_FLAKY
tests/test_delta_channel_migration.py::test_add_messages_to_delta_migration_preserves_message_history_async,50,0,0,50,NOT_FLAKY
tests/test_delta_channel_migration.py::test_basic_migration_preserves_pre_migration_state_async,50,0,0,50,NOT_FLAKY
tests/test_delta_channel_migration.py::test_first_post_migration_write_survives_cold_read_async,50,0,0,50,NOT_FLAKY
tests/test_delta_channel_migration.py::test_tip_of_pre_migration_hydrates_directly_async,50,0,0,50,NOT_FLAKY
tests/test_graph_callbacks.py::test_graph_callbacks_continue_when_handler_raises_async,50,0,0,50,NOT_FLAKY
tests/test_graph_callbacks.py::test_graph_callbacks_interrupt_and_resume_async,50,0,0,50,NOT_FLAKY
tests/test_graph_callbacks.py::test_graph_callbacks_raise_error_propagates_async,50,0,0,50,NOT_FLAKY
tests/test_graph_callbacks.py::test_non_graph_handler_does_not_receive_lifecycle_events_async,50,0,0,50,NOT_FLAKY
tests/test_interruption.py::test_interruption_without_state_updates[memory-async],50,0,0,50,NOT_FLAKY
tests/test_interruption.py::test_interruption_without_state_updates[sqlite-async],50,0,0,50,NOT_FLAKY
tests/test_interruption.py::test_interruption_without_state_updates[sqlite_aes-async],50,0,0,50,NOT_FLAKY
tests/test_interruption.py::test_interruption_without_state_updates_async[memory-async],50,0,0,50,NOT_FLAKY
tests/test_interruption.py::test_interruption_without_state_updates_async[memory-exit],50,0,0,50,NOT_FLAKY
tests/test_interruption.py::test_interruption_without_state_updates_async[memory-sync],50,0,0,50,NOT_FLAKY
tests/test_interruption.py::test_interruption_without_state_updates_async[sqlite_aio-async],50,0,0,50,NOT_FLAKY
tests/test_interruption.py::test_interruption_without_state_updates_async[sqlite_aio-exit],50,0,0,50,NOT_FLAKY
tests/test_interruption.py::test_interruption_without_state_updates_async[sqlite_aio-sync],50,0,0,50,NOT_FLAKY
tests/test_large_cases.py::test_send_dedupe_on_resume[memory-async],50,0,0,50,NOT_FLAKY
tests/test_large_cases.py::test_send_dedupe_on_resume[sqlite-async],50,0,0,50,NOT_FLAKY
tests/test_large_cases.py::test_send_dedupe_on_resume[sqlite_aes-async],50,0,0,50,NOT_FLAKY
tests/test_large_cases_async.py::test_conditional_graph_state[memory],50,0,0,50,NOT_FLAKY
tests/test_large_cases_async.py::test_conditional_graph_state[sqlite_aio],50,0,0,50,NOT_FLAKY
tests/test_large_cases_async.py::test_doubly_nested_graph_state[memory],50,0,0,50,NOT_FLAKY
tests/test_large_cases_async.py::test_doubly_nested_graph_state[sqlite_aio],50,0,0,50,NOT_FLAKY
tests/test_large_cases_async.py::test_fork_always_re_runs_nodes[memory],50,0,0,50,NOT_FLAKY
tests/test_large_cases_async.py::test_fork_always_re_runs_nodes[sqlite_aio],50,0,0,50,NOT_FLAKY
tests/test_large_cases_async.py::test_in_one_fan_out_out_one_graph_state,50,0,0,50,NOT_FLAKY
tests/test_large_cases_async.py::test_invoke_two_processes_in_out_interrupt[memory],50,0,0,50,NOT_FLAKY
tests/test_large_cases_async.py::test_invoke_two_processes_in_out_interrupt[sqlite_aio],50,0,0,50,NOT_FLAKY
