instance_id,repo,test_file,test_name,pass_rate,loop_status,ipflakies_result
pydata__xarray-4075,pydata/xarray,xarray/tests/test_weighted.py,test_weighted_sum_of_weights_boolean_weights,100/100,ALWAYS_PASS,IPF:0
sympy__sympy-16792,sympy/sympy,sympy/external/tests/test_autowrap.py,test_autowrap_unused_matrix_arg_C_cython,100/100,ALWAYS_PASS,IPF:0
sphinx-doc__sphinx-9698,sphinx-doc/sphinx,tests/test_domain_py.py,,,,NO_TEST_NAME
sympy__sympy-20590,sympy/sympy,sympy/core/tests/test_slots.py,test_symbol_has_no_instance_dict,100/100,ALWAYS_PASS,IPF:0
sphinx-doc__sphinx-7454,sphinx-doc/sphinx,tests/test_domain_py.py,test_parse_annotation_none_uses_obj_role,0/100,ALWAYS_FAIL,IPF:NO_RESULT_FILE
sphinx-doc__sphinx-10449,sphinx-doc/sphinx,tests/test_ext_autodoc_configs.py,,,,NO_TEST_NAME
pydata__xarray-4094,pydata/xarray,xarray/tests/test_to_unstacked_single_dim.py,test_to_unstacked_dataset_single_dim_variables,100/100,ALWAYS_PASS,IPF:0
pydata__xarray-7393,pydata/xarray,xarray/tests/test_dataset.py,test_stack_preserves_int32_level_dtype,0/100,ALWAYS_FAIL,IPF:0
sympy__sympy-18763,sympy/sympy,sympy/printing/tests/test_latex_subs_parenthesize.py,test_latex_subs_parenthesize_inner_expr_add,100/100,ALWAYS_PASS,IPF:0
pydata__xarray-3151,pydata/xarray,xarray/tests/test_combine_by_coords_nonmonotonic_bystander.py,test_combine_by_coords_ignores_identical_nonmonotonic_coords,100/100,ALWAYS_PASS,IPF:0
scikit-learn__scikit-learn-25931,scikit-learn/scikit-learn,sklearn/ensemble/tests/test_iforest.py,test_iforest_fit_dataframe_no_feature_name_warning_contamination,0/100,ALWAYS_FAIL,IPF:0
sphinx-doc__sphinx-9711,sphinx-doc/sphinx,tests/test_extension_needs_extensions.py,test_needs_extensions_accepts_newer_two_digit_minor_version,100/100,ALWAYS_PASS,IPF:0
sphinx-doc__sphinx-7910,sphinx-doc/sphinx,tests/test_config.py,test_napoleon_include_init_with_doc_for_decorated_init,0/100,ALWAYS_FAIL,IPF:NO_RESULT_FILE
pydata__xarray-6599,pydata/xarray,xarray/tests/test_computation.py,test_polyval_with_timedelta_coord,100/100,ALWAYS_PASS,IPF:0
sympy__sympy-18189,sympy/sympy,sympy/solvers/tests/test_diophantine.py,,,,NO_TEST_NAME
astropy__astropy-14508,astropy/astropy,astropy/io/fits/tests/test_card_float_format.py,test_card_float_uses_short_repr_and_preserves_comment,0/100,ALWAYS_FAIL,IPF:NO_RESULT_FILE
sympy__sympy-21379,sympy/sympy,sympy/core/tests/test_subs.py,test_subs_piecewise_hyperbolic_regression,100/100,ALWAYS_PASS,IPF:0
scikit-learn__scikit-learn-14983,scikit-learn/scikit-learn,sklearn/model_selection/tests/test_split.py,test_repeated_cv_repr,0/100,ALWAYS_FAIL,IPF:SKIPPED
sympy__sympy-19637,sympy/sympy,sympy/core/tests/test_sympify.py,test_kernS_no_space_parentheses,100/100,ALWAYS_PASS,IPF:0
sphinx-doc__sphinx-9673,sphinx-doc/sphinx,tests/roots/test-ext-autodoc/target/napoleon_google.py,test_autodoc_typehints_documented_with_napoleon,0/100,ALWAYS_FAIL,IPF:NO_RESULT_FILE
